Number,PlotNo,Subplot,Location,Date,Layer,corrected,CFs,Taxon,Euro+Med Taxon,0.01,0.03,0.10,0.32,1.00,3.16,phen,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,height,
3027,BC15,SE,Blühfläche PflaPhy,27/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,1,1,,,,,,,,"4, 5, 2",
3056,BC15,NW,Blühfläche PflaPhy,29/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,0,0,2,3,,,,,,,,,
3077,BC15,SE,Blühfläche PflaPhy,29/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,2,10,8,,,,,,,,,"4, 5, 3",
3099,BC15,NW,Blühfläche PflaPhy,29/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,8,fl,,,,1,,,"13, 7, 8",
3115,BC15,SE,Blühfläche PflaPhy,29/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,20,,,,,,,,,,
3140,BC15,NW,Blühfläche PflaPhy,01/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,12,,,,,,,,,
3156,BC15,SE,Blühfläche PflaPhy,01/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,10,,,,,,,,,"4, 7, 3",
3182,BC16,NW,Vorderseite PflaPhy,28/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,3,,,,,,,,"4, 5, 4",
3205,BC16,SE,Vorderseite PflaPhy,28/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,5,,,,,,,,,,
3239,BC16,NW,Vorderseite PflaPhy,26/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,10,15,10,,,,,,,,,,
3259,BC16,SE,Vorderseite PflaPhy,26/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,5,15,20,20,15,,,,,,,,"7, 6, 10",
3287,BC16,NW,Vorderseite PflaPhy,02/08/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,20,30,fl,,,,1,,,"29, 17, 21",
3308,BC16,SE,Vorderseite PflaPhy,02/08/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,35,,,,,,,,,,
3329,BC16,NW,Vorderseite PflaPhy,05/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,20,27,,,,,,,,,
3356,BC16,SE,Vorderseite PflaPhy,05/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,30,,,,,,,,,"8, 5, 3",
3395,BC17,N,Gartenhaus Blühfläche,05/04/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,10,,,,,,,,"5, 5, 4",
3437,BC17,S,Gartenhaus Blühfläche,05/04/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,5,,,,,,,,,,
3490,BC17,N,Gartenhaus Blühfläche,23/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),4,3,1,1,5,17,flb,,,1,,,,"17, 25, 20",
3526,BC17,S,Gartenhaus Blühfläche,23/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,10,5,5,15,,,,,,,,,,
3579,BC17,N,Gartenhaus Blühfläche,23/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,3,,,,,,,,,,
3609,BC17,S,Gartenhaus Blühfläche,23/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,10,15,fl,,,,1,,,"15, 23, 20",
3658,BC17,N,Gartenhaus Blühfläche,01/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,5,15,,,,,,,,,
3694,BC17,S,Gartenhaus Blühfläche,01/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,20,,fl+fr,,,,1,1,,"23, 14, 6",
3737,BC18,NW,Gartenhaus,28/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.5,0.5,,,,,,,,"3, 3, 2",
3786,BC18,NW,Gartenhaus,24/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,10,6,1,5,,,,,,,,"6, 6, 5",
3840,BC18,NW,Gartenhaus,01/08/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,6,8,fl+fr,,,,1,1,,"25, 19, 13",
3897,BC18,NW,Gartenhaus,26/09/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,10,8,,,,,,,,"10, 9, 20",
4118,BC20,NW,Theaterwissenschaften,25/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,1,5,3,4,1,,,,,,,,"3, 3, 2",
4180,BC20,NW,Theaterwissenschaften,26/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,10,5,10,15,10,,,,,,,,"7, 9, 5",
4249,BC20,NW,Theaterwissenschaften,22/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,8,,,,,,,,,"6, 8, 3",
4296,BC20,NW,Theaterwissenschaften,26/09/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,20,10,,,,,,,,"4, 7, 5",
