Taxon,EuroMed,status,functional_group,lifespan_annual,lifespan_biennialOrShortLived,lifespan_perennial,raunkiaer_phanerophyte,raunkiaer_chamaephyte,raunkiaer_hemicryptophyte,raunkiaer_geophyte,raunkiaer_hydrophyte,raunkiaer_therophyte,lifeform_tree,lifeform_shrub,lifeform_semishrub,lifeform_herbPoli,lifeform_herbMono,lifeform_epiphyte,lifeform_lianaWoody,lifeform_lianaHerb
Polygonum aviculare,Polygonum aviculare (aggr.),NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Potentilla argentea,Potentilla argentea,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Potentilla reptans,Potentilla reptans,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Potentilla tabernaemontani,Potentilla tabernaemontani,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Prunella vulgaris,Prunella vulgaris,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Prunus spinosa,Prunus spinosa,NotEndangered,woody,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ranunculus acris,Ranunculus acris (aggr.),NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ranunculus repens,Ranunculus repens,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Rumex acetosella,Rumex acetosella,NotEndangered,other_forb,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Rumex crispus,Rumex crispus,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Saponaria officinalis,Saponaria officinalis,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Festuca arundinacea,Schedonorus arundinaceus,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Festuca pratensis,Schedonorus pratensis,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Leontodon autumnalis,Scorzoneroides autumnalis,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Securigera varia,Securigera varia,NotEndangered,legume,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Sedum acre,Sedum acre,NotEndangered,other_forb,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Sedum sexangulare,Sedum sexangulare,NotEndangered,other_forb,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Senecio vulgaris,Senecio vulgaris,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Setaria viridis,Setaria viridis,NotEndangered,graminoid,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Melandrium album,Silene latifolia,NotEndangered,other_forb,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Stellaria media,Stellaria media,NotEndangered,other_forb,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Tanacetum vulgare,Tanacetum vulgare,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Taraxacum,Taraxacum,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Tragopogon,Tragopogon,NotEndangered,other_forb,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Trifolium arvense,Trifolium arvense,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Trifolium campestre,Trifolium campestre,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Trifolium dubium,Trifolium dubium,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Trifolium pratensis,Trifolium pratense,NotEndangered,legume,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trifolium repens,Trifolium repens,NotEndangered,legume,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Verbascum,Verbascum,NotEndangered,other_forb,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Verbascum lychnitis,Verbascum lychnitis,NotEndangered,other_forb,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Veronica arvensis,Veronica arvensis,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Veronica chamaedrys,Veronica chamaedrys,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Veronica serpyllifolia,Veronica serpyllifolia,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Veronica sublobata,Veronica sublobata,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Vicia cracca,Vicia cracca,NotEndangered,legume,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Vicia hirsuta,Vicia hirsuta,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Vicia lathyroides,Vicia lathyroides,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Vicia sativa,Vicia sativa,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Vicia villosa,Vicia villosa,NotEndangered,legume,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Carduus nutans,Carduus nutans,Warning,other_forb,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Centaurea jacea,Centaurea jacea,Warning,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Centaurea scabiosa,Centaurea scabiosa,Warning,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Crepis biennis,Crepis biennis,Warning,other_forb,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Centaurea cyanus,Cyanus segetum,Warning,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Fragaria vesca,Fragaria vesca,Warning,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Holosteum umbellatum,Holosteum umbellatum,Warning,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Rumex acetosa,Rumex acetosa,Warning,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Saxifraga tridactylites,Saxifraga tridactylites,Warning,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Valerianella locusta,Valerianella locusta,Warning,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
